split_seed,condition,scorer,auroc,eer,far,frr,known_acc,threshold
1,nbi_10db,mahalanobis,0.875,0.0,0.25,0.25,0.85,-4.307429593392295
1,nbi_10db,msp,0.4,0.0,0.5,0.5,0.85,0.29627320170402527
1,nbi_10db,energy,0.525,0.0,0.75,0.3,0.85,5.113976001739502
1,phase_0.03,proto_dist,0.5625,0.0,0.5,0.4,0.55,-0.4367993175983429
1,phase_0.03,mahalanobis,0.6125,0.09999999999999998,0.25,0.45,0.55,-235.63822284258117
1,phase_0.03,msp,0.5125,0.0,0.5,0.6,0.55,0.2022572010755539
1,phase_0.03,energy,0.55,0.0,0.5,0.45,0.55,3.9274017810821533
1,iq_3db_5deg,proto_dist,0.7125,0.0,0.25,0.4,0.7,-0.26081180572509766
1,iq_3db_5deg,mahalanobis,0.8,0.0,0.5,0.2,0.7,-19.358888232160172
1,iq_3db_5deg,msp,0.5125,0.0,0.5,0.5,0.7,0.27316534519195557
1,iq_3db_5deg,energy,0.5375,0.0,0.5,0.55,0.7,5.018298625946045
1,filter_0.2,proto_dist,0.85,0.0,0.25,0.3,0.7,-0.29707399010658264
1,filter_0.2,mahalanobis,0.9625,0.05,0.0,0.2,0.7,-10.75046520248085
1,filter_0.2,msp,0.4125,0.0,0.5,0.55,0.7,0.3399270176887512
1,filter_0.2,energy,0.525,0.0,0.5,0.45,0.7,5.066328048706055
1,mixed_awgn_cfo,proto_dist,0.3,0.050000000000000044,1.0,0.4,0.1,-0.4374445378780365
1,mixed_awgn_cfo,mahalanobis,0.4625,0.0,0.5,0.65,0.1,-152.1274359495862
1,mixed_awgn_cfo,msp,0.4375,0.09999999999999998,0.75,0.6,0.1,0.2364303171634674
1,mixed_awgn_cfo,energy,0.4,0.09999999999999998,0.75,0.55,0.1,4.500903606414795
2,clean,proto_dist,0.875,0.0,0.25,0.2,0.8,-0.1417662501335144
2,clean,mahalanobis,0.875,0.0,0.25,0.2,0.8,-4.21591837911262
2,clean,msp,0.7125,0.09999999999999998,0.5,0.35,0.8,0.28445765376091003
2,clean,energy,0.7375,0.0,0.25,0.25,0.8,5.2641520500183105
2,awgn_30db,proto_dist,0.9375,0.04999999999999999,0.25,0.2,0.7,-0.24295306205749512
2,awgn_30db,mahalanobis,0.8,0.0,0.25,0.15,0.7,-75.7121954300288
2,awgn_30db,msp,0.4875,0.0,0.5,0.55,0.7,0.29850319027900696
2,awgn_30db,energy,0.85,0.0,0.25,0.3,0.7,5.002885341644287
2,awgn_20db,proto_dist,0.7625,0.0,0.25,0.25,0.25,-0.5307417511940002
2,awgn_20db,mahalanobis,0.675,0.04999999999999999,0.75,0.2,0.25,-581.7744143482328
2,awgn_20db,msp,0.2875,0.09999999999999998,1.0,0.55,0.25,0.231983482837677
2,awgn_20db,energy,0.7375,0.0,0.25,0.25,0.25,4.174037456512451
2,cfo_0.001,proto_dist,0.6375,0.0,0.5,0.55,0.25,-0.23590151965618134
2,cfo_0.001,mahalanobis,0.525,0.0,0.5,0.5,0.25,-7.058963997152887
2,cfo_0.001,msp,0.6625,0.04999999999999999,0.5,0.4,0.25,0.2618349492549896
2,cfo_0.001,energy,0.7875,0.0,0.25,0.3,0.25,4.909232139587402
2,cfo_0.003,proto_dist,0.3625,0.0,0.5,0.55,0.05,-0.20783139765262604
2,cfo_0.003,mahalanobis,0.425,0.0,0.5,0.55,0.05,-9.247554042777182
2,cfo_0.003,msp,0.3875,0.09999999999999998,0.5,0.6,0.05,0.2873533368110657
2,cfo_0.003,energy,0.35,0.09999999999999998,0.5,0.6,0.05,5.293554782867432
2,nbi_10db,proto_dist,0.8375,0.0,0.25,0.15,0.85,-0.16773958504199982
2,nbi_10db,mahalanobis,0.825,0.0,0.25,0.25,0.85,-5.262556607116273
2,nbi_10db,msp,0.625,0.09999999999999998,0.75,0.35,0.85,0.273868203163147
2,nbi_10db,energy,0.7375,0.0,0.25,0.25,0.85,5.17672872543335
2,phase_0.03,proto_dist,0.5,0.0,0.5,0.55,0.55,-0.414816677570343
2,phase_0.03,mahalanobis,0.5125,0.0,0.5,0.6,0.55,-215.94108297147528
2,phase_0.03,msp,0.5,0.0,0.5,0.5,0.55,0.19319558143615723
2,phase_0.03,energy,0.6125,0.04999999999999999,0.25,0.45,0.55,3.960675001144409
2,iq_3db_5deg,proto_dist,0.3875,0.050000000000000044,0.5,0.75,0.7,-0.16812390089035034
2,iq_3db_5deg,mahalanobis,0.2,0.0,0.75,0.95,0.7,-7.630660303638807
2,iq_3db_5deg,msp,0.7125,0.0,0.25,0.3,0.7,0.26562538743019104
2,iq_3db_5deg,energy,0.6125,0.09999999999999998,0.25,0.4,0.7,4.95845365524292
2,filter_0.2,proto_dist,0.725,0.0,0.5,0.25,0.7,-0.32509300112724304
2,filter_0.2,mahalanobis,0.9,0.0,0.25,0.2,0.7,-8.96053953790059
2,filter_0.2,msp,0.5375,0.04999999999999999,0.25,0.5,0.7,0.326099157333374
2,filter_0.2,energy,0.625,0.09999999999999998,0.25,0.4,0.7,5.10528564453125
2,mixed_awgn_cfo,proto_dist,0.6125,0.0,0.5,0.55,0.05,-0.4126611053943634
2,mixed_awgn_cfo,mahalanobis,0.5125,0.0,0.5,0.4,0.05,-130.76681060183697
2,mixed_awgn_cfo,msp,0.5,0.0,0.25,0.7,0.05,0.2456081509590149
2,mixed_awgn_cfo,energy,0.5875,0.0,0.5,0.2,0.05,4.395422458648682
