field,value,num_samples,window_acc
setup,diff_days_indoor,6144,0.5685221354166666
split,test,6144,0.5685221354166666
day,5,6144,0.5685221354166666
receiver,0,6144,0.5685221354166666
location,0,6144,0.5685221354166666
distance,0,6144,0.5685221354166666
sf,0,6144,0.5685221354166666
config,0,6144,0.5685221354166666
