field,value,num_samples,window_acc
setup,diff_days_indoor,6144,0.047200520833333336
split,test,6144,0.047200520833333336
day,5,6144,0.047200520833333336
receiver,0,6144,0.047200520833333336
location,0,6144,0.047200520833333336
distance,0,6144,0.047200520833333336
sf,0,6144,0.047200520833333336
config,0,6144,0.047200520833333336
