label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,0,54,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0
1,0,49,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0
2,0,46,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0
3,0,38,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0
4,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0
5,0,24,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0
6,0,35,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0
7,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0
8,0,34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0
9,0,22,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0
10,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0
11,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0
12,0,23,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0
13,0,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0
14,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0
15,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0
16,0,28,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0
17,0,21,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0
18,0,23,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0
19,0,30,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0
20,0,39,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0
21,0,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0
22,0,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0
23,0,31,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0
