label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,0,0,102,0,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0
1,15,81,4,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2,1,0,99,1,0,2,7,0,24,0,0,0,0,0,0,0,3,0,0,0,118,0,0,1
3,67,4,18,157,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0
4,0,0,0,1,44,0,0,0,0,0,0,206,0,0,4,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,98,30,4,0,0,3,0,4,3,0,0,3,95,0,0,0,0,1,15
6,0,0,0,0,0,87,159,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0,2
7,0,0,0,0,2,0,0,10,0,0,7,0,89,81,1,0,2,23,0,0,0,33,6,2
8,0,0,1,0,0,6,18,0,1,0,1,0,0,0,0,1,2,0,0,0,226,0,0,0
9,0,0,0,0,9,0,0,0,0,0,116,0,14,3,35,0,0,0,0,0,0,71,8,0
10,0,0,0,0,30,0,0,0,0,0,99,1,5,0,93,0,1,0,0,0,0,27,0,0
11,0,0,0,0,20,0,0,0,0,0,2,231,0,0,3,0,0,0,0,0,0,0,0,0
12,0,0,0,0,4,0,0,2,0,0,62,0,41,15,11,0,2,1,0,0,0,101,17,0
13,0,0,0,0,3,0,0,10,0,0,14,0,90,31,3,0,1,4,0,0,0,72,28,0
14,0,0,0,1,86,0,0,0,0,0,51,53,2,0,48,0,4,0,0,0,0,11,0,0
15,0,1,0,0,1,1,0,32,0,0,5,0,53,90,3,0,2,56,0,0,0,6,6,0
16,1,0,0,0,16,0,0,0,0,0,40,1,59,27,20,0,7,5,0,0,0,63,17,0
17,1,0,0,0,0,5,0,35,0,0,6,0,40,96,3,0,1,60,0,0,0,5,4,0
18,0,1,0,0,3,0,0,1,0,0,77,0,20,12,17,0,1,2,0,0,0,108,14,0
19,0,0,0,0,19,11,1,11,0,0,52,1,20,16,41,0,0,33,0,0,0,45,5,1
20,0,0,3,0,0,5,73,0,1,0,0,0,0,0,0,0,3,0,0,0,171,0,0,0
21,0,0,0,0,6,0,0,0,0,0,109,1,20,4,27,0,0,0,0,0,0,79,10,0
22,0,0,0,0,5,1,0,2,0,0,108,0,23,6,26,0,1,1,0,0,0,76,7,0
23,0,0,0,0,0,122,0,4,0,0,2,0,4,2,0,1,2,78,0,0,0,2,0,39
