label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,21,32,69,131,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,191,3,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,7,145,40,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,83,17,142,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,166,0,1,1,4,1,5,66,5,0,0,4,2,0,0,0,0,0,0,0
5,0,1,4,0,0,165,37,0,15,2,1,0,0,0,0,0,0,0,0,6,18,0,3,4
6,2,0,6,0,1,55,98,0,33,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0
7,0,0,0,0,0,1,0,8,1,4,0,0,14,9,0,3,17,160,0,0,2,2,12,23
8,10,1,18,16,0,2,19,0,146,0,1,0,0,0,0,0,1,0,0,0,42,0,0,0
9,0,0,0,0,1,1,0,0,1,49,10,3,3,9,105,0,4,2,41,0,0,25,2,0
10,0,0,0,0,6,0,0,0,0,13,97,30,1,1,60,0,1,0,7,0,0,38,0,2
11,0,0,0,0,106,0,0,0,1,0,2,143,0,0,2,0,0,0,0,0,0,2,0,0
12,0,0,0,0,0,0,1,4,2,21,7,0,38,50,11,4,33,58,3,2,0,5,9,8
13,0,0,0,0,0,1,0,2,2,27,4,0,44,84,14,0,28,35,4,0,0,3,6,2
14,0,0,0,0,2,1,0,0,1,34,7,16,4,13,129,0,2,4,26,0,0,10,6,1
15,0,0,0,0,2,8,3,1,3,1,1,0,2,0,0,8,1,33,0,19,0,0,45,129
16,0,0,0,0,2,0,0,5,2,12,3,0,49,51,2,0,33,82,1,0,0,6,8,0
17,0,0,0,0,0,0,0,5,3,0,0,0,10,14,1,4,15,153,1,1,0,1,17,31
18,0,0,0,1,0,2,0,0,1,57,13,7,6,25,66,1,7,3,33,0,0,22,11,1
19,0,0,1,0,1,103,6,0,2,0,0,0,0,0,0,1,1,5,0,84,1,0,10,41
20,4,0,17,3,0,7,34,0,109,0,0,1,0,0,0,0,0,0,0,0,80,0,1,0
21,0,0,0,0,5,0,0,0,1,14,54,12,0,1,87,0,6,3,22,1,0,48,1,1
22,0,0,1,0,0,10,0,0,1,5,1,0,0,2,6,1,1,11,0,12,0,1,187,17
23,1,0,2,0,1,21,3,0,1,2,1,1,0,1,2,8,1,14,0,47,2,1,40,107
