field,value,num_samples,window_acc
setup,diff_days_indoor,6144,0.38330078125
split,test,6144,0.38330078125
day,5,6144,0.38330078125
receiver,0,6144,0.38330078125
location,0,6144,0.38330078125
distance,0,6144,0.38330078125
sf,0,6144,0.38330078125
config,0,6144,0.38330078125
