perturb_type,strength,window_acc,file_acc,window_macro_f1,file_macro_f1,num_windows,num_files
phase_noise_std,0.0,0.4137369791666667,0.625,0.3650693905556716,0.5069444444444444,6144,24
phase_noise_std,0.01,0.3343098958333333,0.5416666666666666,0.2974891804015034,0.4444444444444444,6144,24
phase_noise_std,0.03,0.17464192708333334,0.08333333333333333,0.15856426562667073,0.044444444444444446,6144,24
phase_noise_std,0.05,0.10498046875,0.041666666666666664,0.08859604570881857,0.016666666666666666,6144,24
phase_noise_std,0.1,0.061360677083333336,0.041666666666666664,0.03725205557472692,0.010416666666666666,6144,24
