label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,70,0,21,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
1,0,0,100,154,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,75,0,11,0,0,0,1,0,127,0,0,0,0,0,0,0,0,0,0,0,38,0,0,4
3,1,0,232,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,227,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,162
6,0,0,0,0,0,213,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
7,0,0,0,0,0,0,0,14,0,0,16,0,42,9,0,0,7,3,161,0,0,0,0,4
8,0,0,0,0,0,4,209,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,0,5
9,0,0,0,0,0,0,0,0,0,0,187,14,0,0,37,0,5,0,12,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,85,71,0,0,92,0,3,0,3,0,0,0,0,2
11,0,0,0,0,142,0,0,0,0,0,0,110,0,0,2,0,2,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,184,0,2,0,2,1,5,0,61,0,0,0,0,1
13,0,0,0,0,0,0,0,8,0,0,43,0,27,3,0,0,6,0,166,1,0,0,0,2
14,0,0,0,0,0,0,0,0,0,0,51,139,0,0,47,0,14,0,2,0,0,0,0,3
15,0,0,0,0,0,0,0,52,0,0,2,0,90,35,0,3,10,10,50,2,0,0,0,2
16,0,0,0,0,0,0,0,7,0,0,103,1,9,3,5,2,15,0,104,0,0,0,0,7
17,0,0,0,0,0,0,0,72,0,0,2,0,79,25,0,3,7,5,60,1,0,0,0,2
18,0,0,0,0,0,0,0,0,0,0,207,0,3,0,8,1,3,0,33,0,0,0,0,1
19,0,0,0,0,0,4,0,37,0,0,51,5,38,10,3,3,19,27,50,1,0,0,0,8
20,0,0,0,0,0,20,222,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4
21,0,0,0,0,0,0,0,0,0,0,195,8,1,0,34,1,3,0,13,0,0,0,0,1
22,0,0,0,0,0,0,0,26,0,0,11,0,58,12,0,1,4,1,140,1,0,0,0,2
23,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,216,0,0,0,0,0,17
