seed,n_files,best_file_acc,last_file_acc,acc_delta_last_minus_best,same_prediction_rate
0,24,0.8333333333333334,0.625,-0.20833333333333337,0.5416666666666666
1,24,0.7083333333333334,0.75,0.04166666666666663,0.6666666666666666
2,24,0.7083333333333334,0.75,0.04166666666666663,0.625
3,24,0.7916666666666666,0.7916666666666666,0.0,1.0
4,24,0.7083333333333334,0.7083333333333334,0.0,1.0
