seed,b,c,n_discordant,p_value,statistic
0,8,3,11,0.227799993988229,1.4545454545454546
1,9,2,11,0.07044042927208799,3.272727272727273
2,6,4,10,0.7518296340458492,0.1
3,12,1,13,0.0055456673152440555,7.6923076923076925
4,4,4,8,0.7236736098317631,0.125
