seed,n_files,mean_diff,ci_low,ci_high,n_bootstrap
0,24,0.20833333333333337,-0.04166666666666674,0.45833333333333337,10000
1,24,0.2916666666666667,0.04166666666666663,0.5416666666666666,10000
2,24,0.08333333333333337,-0.16666666666666674,0.33333333333333337,10000
3,24,0.4583333333333333,0.20833333333333337,0.6666666666666667,10000
4,24,0.0,-0.20833333333333337,0.25,10000
