direction,source_classifier,source_prototype,entropy_min_tta,pseudo_proto_tta
rx1_to_rx2,19.4 ± 3.4,15.3 ± 7.3,20.8 ± —,8.3 ± —
rx2_to_rx1,20.8 ± 8.8,13.0 ± 3.1,—,—
