label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,28,37,82,47,0,5,28,1,20,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2
1,8,175,10,52,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,29,10,175,9,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,3,1,0,1,5
3,23,74,32,84,0,0,17,0,20,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
4,0,0,1,0,157,1,0,0,0,13,13,40,4,3,3,0,0,2,1,2,6,5,5,0
5,2,1,8,0,0,111,70,1,6,3,4,3,1,2,3,1,0,1,0,12,4,0,16,7
6,6,0,12,0,1,35,156,1,15,3,0,0,0,1,0,1,2,0,0,2,16,0,2,3
7,0,0,0,2,3,2,0,44,3,4,8,2,14,6,1,18,7,102,4,7,4,1,10,14
8,1,10,6,19,0,3,23,3,127,2,0,0,0,0,1,1,0,0,0,2,52,0,0,6
9,0,0,0,0,3,2,1,0,2,68,7,5,1,14,39,3,0,0,76,4,0,17,12,2
10,0,0,0,0,12,5,0,0,2,8,151,7,0,4,4,0,0,10,10,1,0,22,18,2
11,0,0,0,0,105,0,0,0,1,2,2,126,3,3,6,0,0,0,0,1,0,0,7,0
12,0,0,0,0,1,1,2,22,0,3,6,2,88,79,1,2,15,16,4,4,0,4,5,1
13,0,0,0,0,3,4,2,24,1,4,4,3,81,90,2,0,12,7,5,4,0,4,4,2
14,0,0,1,0,8,2,0,0,1,41,3,14,3,28,93,0,0,0,39,2,0,8,12,1
15,0,0,2,0,3,2,4,0,2,10,9,1,5,4,0,35,0,25,2,17,1,5,57,72
16,0,0,0,0,3,1,0,44,1,4,3,4,65,53,1,2,34,25,4,5,2,0,5,0
17,0,1,0,0,4,3,0,31,1,2,6,2,8,12,3,23,6,102,4,10,2,4,16,16
18,0,0,1,0,1,3,1,0,0,59,6,5,1,22,40,2,1,5,72,11,1,13,11,1
19,2,2,9,0,1,23,16,5,5,2,5,0,1,15,1,6,1,16,2,50,1,1,45,47
20,0,1,11,3,0,2,40,2,93,4,3,0,0,0,0,5,0,1,1,2,75,2,1,10
21,0,0,0,0,12,4,1,0,5,16,74,8,6,11,12,1,1,5,30,2,2,52,11,3
22,0,0,2,0,5,7,0,0,1,3,4,6,1,3,6,5,0,4,0,11,0,1,194,3
23,0,0,8,0,1,5,4,3,0,6,2,2,0,0,0,33,0,19,2,26,3,2,52,88
