direction,method,shot_k,mean_file_acc,std_file_acc,n_runs
rx2_to_rx1,RCPA-S,0,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-S,1,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-S,3,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-S,5,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-S,10,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-S,20,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-T,1,0.30092592592592593,0.09374285523757679,9
rx2_to_rx1,RCPA-T,3,0.5046296296296297,0.1010065936540344,9
rx2_to_rx1,RCPA-T,5,0.5925925925925926,0.08511470514282517,9
rx2_to_rx1,RCPA-T,10,0.7129629629629629,0.0909577902980949,9
rx2_to_rx1,RCPA-T,20,0.7268518518518519,0.08124967025363077,9
rx2_to_rx1,RCPA-B,0,0.12962962962962962,0.030709488799587036,9
rx2_to_rx1,RCPA-B,1,0.30092592592592593,0.0581935420832247,9
rx2_to_rx1,RCPA-B,3,0.3472222222222222,0.08333333333333333,9
rx2_to_rx1,RCPA-B,5,0.3842592592592593,0.047213143644377634,9
rx2_to_rx1,RCPA-B,10,0.40277777777777785,0.05196746370519362,9
rx2_to_rx1,RCPA-B,20,0.37500000000000006,0.05555555555555555,9
rx2_to_rx1,source_classifier,-1,0.20833333333333334,0.08784104611578832,9
