method,direction,model,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
RCPA-S,rx2_to_rx1,ours_fused,1,2,10,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,2,10,0.0,cosine,0.7916666666666666,0.7430555555555555
RCPA-B,rx2_to_rx1,ours_fused,1,2,10,0.5,cosine,0.375,0.3222222222222222
RCPA-S,rx2_to_rx1,ours_fused,1,2,20,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,2,20,0.0,cosine,0.875,0.8333333333333334
RCPA-B,rx2_to_rx1,ours_fused,1,2,20,0.5,cosine,0.375,0.3194444444444444
source_classifier,rx2_to_rx1,ours_fused,2,0,-1,,,0.125,0.060515873015873
RCPA-S,rx2_to_rx1,ours_fused,2,0,0,1.0,cosine,0.08333333333333333,0.041666666666666664
RCPA-B,rx2_to_rx1,ours_fused,2,0,0,0.5,cosine,0.08333333333333333,0.041666666666666664
RCPA-S,rx2_to_rx1,ours_fused,2,0,1,1.0,cosine,0.08333333333333333,0.041666666666666664
RCPA-T,rx2_to_rx1,ours_fused,2,0,1,0.0,cosine,0.3333333333333333,0.24305555555555555
RCPA-B,rx2_to_rx1,ours_fused,2,0,1,0.5,cosine,0.2916666666666667,0.25
RCPA-S,rx2_to_rx1,ours_fused,2,0,3,1.0,cosine,0.08333333333333333,0.041666666666666664
RCPA-T,rx2_to_rx1,ours_fused,2,0,3,0.0,cosine,0.4166666666666667,0.3638888888888889
RCPA-B,rx2_to_rx1,ours_fused,2,0,3,0.5,cosine,0.3333333333333333,0.25
RCPA-S,rx2_to_rx1,ours_fused,2,0,5,1.0,cosine,0.08333333333333333,0.041666666666666664
RCPA-T,rx2_to_rx1,ours_fused,2,0,5,0.0,cosine,0.5416666666666666,0.4611111111111111
RCPA-B,rx2_to_rx1,ours_fused,2,0,5,0.5,cosine,0.375,0.2638888888888889
RCPA-S,rx2_to_rx1,ours_fused,2,0,10,1.0,cosine,0.08333333333333333,0.041666666666666664
RCPA-T,rx2_to_rx1,ours_fused,2,0,10,0.0,cosine,0.7083333333333334,0.6458333333333334
RCPA-B,rx2_to_rx1,ours_fused,2,0,10,0.5,cosine,0.375,0.2708333333333333
RCPA-S,rx2_to_rx1,ours_fused,2,0,20,1.0,cosine,0.08333333333333333,0.041666666666666664
RCPA-T,rx2_to_rx1,ours_fused,2,0,20,0.0,cosine,0.75,0.6805555555555555
RCPA-B,rx2_to_rx1,ours_fused,2,0,20,0.5,cosine,0.3333333333333333,0.23611111111111108
source_classifier,rx2_to_rx1,ours_fused,2,1,-1,,,0.125,0.0625
RCPA-S,rx2_to_rx1,ours_fused,2,1,0,1.0,cosine,0.08333333333333333,0.048611111111111105
RCPA-B,rx2_to_rx1,ours_fused,2,1,0,0.5,cosine,0.08333333333333333,0.048611111111111105
RCPA-S,rx2_to_rx1,ours_fused,2,1,1,1.0,cosine,0.08333333333333333,0.048611111111111105
RCPA-T,rx2_to_rx1,ours_fused,2,1,1,0.0,cosine,0.25,0.19722222222222222
RCPA-B,rx2_to_rx1,ours_fused,2,1,1,0.5,cosine,0.20833333333333334,0.12996031746031744
RCPA-S,rx2_to_rx1,ours_fused,2,1,3,1.0,cosine,0.08333333333333333,0.048611111111111105
RCPA-T,rx2_to_rx1,ours_fused,2,1,3,0.0,cosine,0.5,0.4472222222222222
RCPA-B,rx2_to_rx1,ours_fused,2,1,3,0.5,cosine,0.4166666666666667,0.3125
RCPA-S,rx2_to_rx1,ours_fused,2,1,5,1.0,cosine,0.08333333333333333,0.048611111111111105
RCPA-T,rx2_to_rx1,ours_fused,2,1,5,0.0,cosine,0.5833333333333334,0.4749999999999999
RCPA-B,rx2_to_rx1,ours_fused,2,1,5,0.5,cosine,0.4166666666666667,0.3194444444444445
RCPA-S,rx2_to_rx1,ours_fused,2,1,10,1.0,cosine,0.08333333333333333,0.048611111111111105
RCPA-T,rx2_to_rx1,ours_fused,2,1,10,0.0,cosine,0.7083333333333334,0.625
RCPA-B,rx2_to_rx1,ours_fused,2,1,10,0.5,cosine,0.4583333333333333,0.3638888888888889
RCPA-S,rx2_to_rx1,ours_fused,2,1,20,1.0,cosine,0.08333333333333333,0.048611111111111105
RCPA-T,rx2_to_rx1,ours_fused,2,1,20,0.0,cosine,0.7083333333333334,0.6249999999999999
RCPA-B,rx2_to_rx1,ours_fused,2,1,20,0.5,cosine,0.4166666666666667,0.3194444444444444
source_classifier,rx2_to_rx1,ours_fused,2,2,-1,,,0.125,0.060515873015873
RCPA-S,rx2_to_rx1,ours_fused,2,2,0,1.0,cosine,0.125,0.0625
RCPA-B,rx2_to_rx1,ours_fused,2,2,0,0.5,cosine,0.125,0.0625
RCPA-S,rx2_to_rx1,ours_fused,2,2,1,1.0,cosine,0.125,0.0625
RCPA-T,rx2_to_rx1,ours_fused,2,2,1,0.0,cosine,0.375,0.29444444444444445
RCPA-B,rx2_to_rx1,ours_fused,2,2,1,0.5,cosine,0.2916666666666667,0.23611111111111108
RCPA-S,rx2_to_rx1,ours_fused,2,2,3,1.0,cosine,0.125,0.0625
RCPA-T,rx2_to_rx1,ours_fused,2,2,3,0.0,cosine,0.5833333333333334,0.4930555555555555
RCPA-B,rx2_to_rx1,ours_fused,2,2,3,0.5,cosine,0.375,0.3055555555555555
RCPA-S,rx2_to_rx1,ours_fused,2,2,5,1.0,cosine,0.125,0.0625
RCPA-T,rx2_to_rx1,ours_fused,2,2,5,0.0,cosine,0.625,0.5694444444444444
RCPA-B,rx2_to_rx1,ours_fused,2,2,5,0.5,cosine,0.4583333333333333,0.37777777777777777
RCPA-S,rx2_to_rx1,ours_fused,2,2,10,1.0,cosine,0.125,0.0625
RCPA-T,rx2_to_rx1,ours_fused,2,2,10,0.0,cosine,0.75,0.6833333333333332
RCPA-B,rx2_to_rx1,ours_fused,2,2,10,0.5,cosine,0.4583333333333333,0.3638888888888889
RCPA-S,rx2_to_rx1,ours_fused,2,2,20,1.0,cosine,0.125,0.0625
RCPA-T,rx2_to_rx1,ours_fused,2,2,20,0.0,cosine,0.7083333333333334,0.625
RCPA-B,rx2_to_rx1,ours_fused,2,2,20,0.5,cosine,0.4583333333333333,0.3638888888888889
