method,direction,model,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
RCPA-B,rx1_to_rx2,ours_fused,1,0,1,0.5,cosine,0.3333333333333333,0.24801587301587302
RCPA-S,rx1_to_rx2,ours_fused,1,0,3,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,0,3,0.0,cosine,0.4166666666666667,0.3013888888888889
RCPA-B,rx1_to_rx2,ours_fused,1,0,3,0.5,cosine,0.3333333333333333,0.25277777777777777
RCPA-S,rx1_to_rx2,ours_fused,1,0,5,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,0,5,0.0,cosine,0.5833333333333334,0.4930555555555555
RCPA-B,rx1_to_rx2,ours_fused,1,0,5,0.5,cosine,0.4166666666666667,0.36388888888888893
RCPA-S,rx1_to_rx2,ours_fused,1,0,10,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,0,10,0.0,cosine,0.5416666666666666,0.4930555555555555
RCPA-B,rx1_to_rx2,ours_fused,1,0,10,0.5,cosine,0.3333333333333333,0.25
RCPA-S,rx1_to_rx2,ours_fused,1,0,20,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,0,20,0.0,cosine,0.75,0.7013888888888888
RCPA-B,rx1_to_rx2,ours_fused,1,0,20,0.5,cosine,0.4166666666666667,0.3361111111111111
source_classifier,rx1_to_rx2,ours_fused,1,1,-1,,,0.20833333333333334,0.16666666666666666
RCPA-S,rx1_to_rx2,ours_fused,1,1,0,1.0,cosine,0.125,0.1111111111111111
RCPA-B,rx1_to_rx2,ours_fused,1,1,0,0.5,cosine,0.125,0.1111111111111111
RCPA-S,rx1_to_rx2,ours_fused,1,1,1,1.0,cosine,0.125,0.1111111111111111
RCPA-T,rx1_to_rx2,ours_fused,1,1,1,0.0,cosine,0.20833333333333334,0.1597222222222222
RCPA-B,rx1_to_rx2,ours_fused,1,1,1,0.5,cosine,0.375,0.32638888888888884
RCPA-S,rx1_to_rx2,ours_fused,1,1,3,1.0,cosine,0.125,0.1111111111111111
RCPA-T,rx1_to_rx2,ours_fused,1,1,3,0.0,cosine,0.5,0.35694444444444445
RCPA-B,rx1_to_rx2,ours_fused,1,1,3,0.5,cosine,0.2916666666666667,0.1875
RCPA-S,rx1_to_rx2,ours_fused,1,1,5,1.0,cosine,0.125,0.1111111111111111
RCPA-T,rx1_to_rx2,ours_fused,1,1,5,0.0,cosine,0.5416666666666666,0.4166666666666667
RCPA-B,rx1_to_rx2,ours_fused,1,1,5,0.5,cosine,0.2916666666666667,0.22916666666666666
RCPA-S,rx1_to_rx2,ours_fused,1,1,10,1.0,cosine,0.125,0.1111111111111111
RCPA-T,rx1_to_rx2,ours_fused,1,1,10,0.0,cosine,0.7083333333333334,0.6458333333333333
RCPA-B,rx1_to_rx2,ours_fused,1,1,10,0.5,cosine,0.375,0.30833333333333335
RCPA-S,rx1_to_rx2,ours_fused,1,1,20,1.0,cosine,0.125,0.1111111111111111
RCPA-T,rx1_to_rx2,ours_fused,1,1,20,0.0,cosine,0.6666666666666666,0.6319444444444444
RCPA-B,rx1_to_rx2,ours_fused,1,1,20,0.5,cosine,0.4166666666666667,0.3361111111111111
source_classifier,rx1_to_rx2,ours_fused,1,2,-1,,,0.16666666666666666,0.13888888888888887
RCPA-S,rx1_to_rx2,ours_fused,1,2,0,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-B,rx1_to_rx2,ours_fused,1,2,0,0.5,cosine,0.16666666666666666,0.13888888888888887
RCPA-S,rx1_to_rx2,ours_fused,1,2,1,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,2,1,0.0,cosine,0.25,0.1625
RCPA-B,rx1_to_rx2,ours_fused,1,2,1,0.5,cosine,0.25,0.20833333333333334
RCPA-S,rx1_to_rx2,ours_fused,1,2,3,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,2,3,0.0,cosine,0.375,0.2805555555555555
RCPA-B,rx1_to_rx2,ours_fused,1,2,3,0.5,cosine,0.2916666666666667,0.22916666666666666
RCPA-S,rx1_to_rx2,ours_fused,1,2,5,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,2,5,0.0,cosine,0.5833333333333334,0.46527777777777773
RCPA-B,rx1_to_rx2,ours_fused,1,2,5,0.5,cosine,0.3333333333333333,0.2638888888888889
RCPA-S,rx1_to_rx2,ours_fused,1,2,10,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,2,10,0.0,cosine,0.75,0.6805555555555555
RCPA-B,rx1_to_rx2,ours_fused,1,2,10,0.5,cosine,0.25,0.20833333333333334
RCPA-S,rx1_to_rx2,ours_fused,1,2,20,1.0,cosine,0.16666666666666666,0.13888888888888887
RCPA-T,rx1_to_rx2,ours_fused,1,2,20,0.0,cosine,0.8333333333333334,0.7777777777777777
RCPA-B,rx1_to_rx2,ours_fused,1,2,20,0.5,cosine,0.375,0.3194444444444444
source_classifier,rx1_to_rx2,ours_fused,2,0,-1,,,0.25,0.16567460317460317
RCPA-S,rx1_to_rx2,ours_fused,2,0,0,1.0,cosine,0.25,0.16319444444444442
RCPA-B,rx1_to_rx2,ours_fused,2,0,0,0.5,cosine,0.25,0.16319444444444442
RCPA-S,rx1_to_rx2,ours_fused,2,0,1,1.0,cosine,0.25,0.16319444444444442
RCPA-T,rx1_to_rx2,ours_fused,2,0,1,0.0,cosine,0.5,0.38888888888888884
RCPA-B,rx1_to_rx2,ours_fused,2,0,1,0.5,cosine,0.25,0.16249999999999998
RCPA-S,rx1_to_rx2,ours_fused,2,0,3,1.0,cosine,0.25,0.16319444444444442
RCPA-T,rx1_to_rx2,ours_fused,2,0,3,0.0,cosine,0.5833333333333334,0.4791666666666667
RCPA-B,rx1_to_rx2,ours_fused,2,0,3,0.5,cosine,0.3333333333333333,0.21388888888888888
RCPA-S,rx1_to_rx2,ours_fused,2,0,5,1.0,cosine,0.25,0.16319444444444442
RCPA-T,rx1_to_rx2,ours_fused,2,0,5,0.0,cosine,0.75,0.6833333333333332
RCPA-B,rx1_to_rx2,ours_fused,2,0,5,0.5,cosine,0.3333333333333333,0.19999999999999998
RCPA-S,rx1_to_rx2,ours_fused,2,0,10,1.0,cosine,0.25,0.16319444444444442
RCPA-T,rx1_to_rx2,ours_fused,2,0,10,0.0,cosine,0.75,0.7013888888888888
RCPA-B,rx1_to_rx2,ours_fused,2,0,10,0.5,cosine,0.3333333333333333,0.2069444444444444
RCPA-S,rx1_to_rx2,ours_fused,2,0,20,1.0,cosine,0.25,0.16319444444444442
RCPA-T,rx1_to_rx2,ours_fused,2,0,20,0.0,cosine,0.7916666666666666,0.7222222222222222
RCPA-B,rx1_to_rx2,ours_fused,2,0,20,0.5,cosine,0.3333333333333333,0.2069444444444444
source_classifier,rx1_to_rx2,ours_fused,2,1,-1,,,0.20833333333333334,0.12446581196581195
RCPA-S,rx1_to_rx2,ours_fused,2,1,0,1.0,cosine,0.25,0.12648809523809523
RCPA-B,rx1_to_rx2,ours_fused,2,1,0,0.5,cosine,0.25,0.12648809523809523
RCPA-S,rx1_to_rx2,ours_fused,2,1,1,1.0,cosine,0.25,0.12648809523809523
RCPA-T,rx1_to_rx2,ours_fused,2,1,1,0.0,cosine,0.5416666666666666,0.45634920634920634
RCPA-B,rx1_to_rx2,ours_fused,2,1,1,0.5,cosine,0.375,0.2666666666666666
RCPA-S,rx1_to_rx2,ours_fused,2,1,3,1.0,cosine,0.25,0.12648809523809523
RCPA-T,rx1_to_rx2,ours_fused,2,1,3,0.0,cosine,0.6666666666666666,0.5763888888888888
