model,params,latency_ms_bs1,latency_ms_bs32,latency_ms_bs64,peak_gpu_mem_mb_bs32
CNN-IQ,47705,1.1183315329253674,1.1032502353191376,1.4190036989748478,66.3564453125
Hybrid,1156022,2.453714832663536,2.5268938951194286,2.5294550880789757,123.58349609375
