label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,0,157,0,0,0,36,0,0,0,0,19,5,39,0,0,0,0,0,0,0,0,0,0,0
1,0,136,0,0,0,40,0,0,0,0,22,5,53,0,0,0,0,0,0,0,0,0,0,0
2,0,132,0,0,0,46,0,0,0,0,24,5,49,0,0,0,0,0,0,0,0,0,0,0
3,0,111,0,0,0,47,0,0,0,0,32,8,57,0,0,0,0,0,0,1,0,0,0,0
4,0,88,0,0,0,41,0,0,0,0,16,5,100,0,5,0,0,0,0,1,0,0,0,0
5,0,108,0,0,0,42,0,0,0,0,20,9,77,0,0,0,0,0,0,0,0,0,0,0
6,0,117,0,0,0,40,0,0,0,0,30,7,61,0,1,0,0,0,0,0,0,0,0,0
7,0,99,0,0,0,35,0,0,0,0,27,6,87,0,2,0,0,0,0,0,0,0,0,0
8,0,116,0,0,0,40,0,0,0,0,25,7,67,0,1,0,0,0,0,0,0,0,0,0
9,0,110,0,0,0,41,0,0,0,0,26,9,69,0,1,0,0,0,0,0,0,0,0,0
10,0,90,0,0,0,45,0,0,0,0,29,7,83,0,2,0,0,0,0,0,0,0,0,0
11,0,74,0,0,0,58,0,0,0,0,24,7,91,0,2,0,0,0,0,0,0,0,0,0
12,0,103,0,0,0,48,0,0,0,0,20,8,75,0,2,0,0,0,0,0,0,0,0,0
13,0,95,0,0,0,49,0,0,0,0,24,6,80,0,2,0,0,0,0,0,0,0,0,0
14,0,102,0,0,0,43,0,0,0,0,23,9,79,0,0,0,0,0,0,0,0,0,0,0
15,0,108,0,0,0,44,0,0,0,0,23,9,71,0,1,0,0,0,0,0,0,0,0,0
16,0,100,0,0,0,42,0,0,0,0,34,7,72,0,1,0,0,0,0,0,0,0,0,0
17,0,105,0,0,0,38,0,0,0,0,26,8,79,0,0,0,0,0,0,0,0,0,0,0
18,0,106,0,0,0,40,0,0,0,0,20,9,79,0,1,0,0,0,0,1,0,0,0,0
19,0,111,0,0,0,51,0,0,0,0,25,8,61,0,0,0,0,0,0,0,0,0,0,0
20,0,120,0,0,0,38,0,0,0,0,23,6,66,0,3,0,0,0,0,0,0,0,0,0
21,0,106,0,0,0,55,0,0,0,0,19,7,67,0,2,0,0,0,0,0,0,0,0,0
22,0,107,0,0,0,41,0,0,0,0,28,8,71,0,1,0,0,0,0,0,0,0,0,0
23,0,107,0,0,0,35,0,0,0,0,19,7,86,0,2,0,0,0,0,0,0,0,0,0
