direction,method,shot_k,mean_file_acc,std_file_acc,n_runs
rx1_to_rx2,RCPA-S,0,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-S,1,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-S,3,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-S,5,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-S,10,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-S,20,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-T,1,0.2916666666666667,0.06804138174397717,3
rx1_to_rx2,RCPA-T,3,0.40277777777777773,0.09820927516479827,3
rx1_to_rx2,RCPA-T,5,0.48611111111111116,0.07081971546656647,3
rx1_to_rx2,RCPA-T,10,0.5833333333333334,0.0340206908719886,3
rx1_to_rx2,RCPA-T,20,0.7222222222222223,0.019641855032959635,3
rx1_to_rx2,RCPA-B,0,0.06944444444444443,0.039283710065919304,3
rx1_to_rx2,RCPA-B,1,0.25,0.06804138174397717,3
rx1_to_rx2,RCPA-B,3,0.3333333333333333,0.09001028747788695,3
rx1_to_rx2,RCPA-B,5,0.3194444444444445,0.0392837100659193,3
rx1_to_rx2,RCPA-B,10,0.3333333333333333,0.03402069087198858,3
rx1_to_rx2,RCPA-B,20,0.375,0.0340206908719886,3
rx1_to_rx2,source_classifier,-1,0.19444444444444442,0.03928371006591931,3
