top1_pred_mass,top3_pred_mass,num_active_pred_classes,entropy_pred_distribution,experiment,file_acc
0.9583333333333334,1.0,2,0.1732052067491771,A_cnn_iq/rx1_to_rx2/seed_0,0.041666666666666664
0.875,0.9583333333333334,4,0.5140966973399506,A_cnn_iq/rx1_to_rx2/seed_1,0.041666666666666664
0.875,0.9583333333333334,4,0.5140966973399504,A_cnn_iq/rx1_to_rx2/seed_2,0.041666666666666664
0.16666666666666666,0.4166666666666667,13,2.427144384741338,A_cnn_iq/rx2_to_rx1/seed_0,0.4166666666666667
0.20833333333333334,0.4583333333333333,13,2.3806561448842114,A_cnn_iq/rx2_to_rx1/seed_1,0.041666666666666664
0.25,0.5,11,2.210253577620973,A_cnn_iq/rx2_to_rx1/seed_2,0.25
0.20833333333333334,0.4583333333333333,14,2.4384184099308728,F_cross_attn_chirp_plain/rx1_to_rx2/seed_0,0.20833333333333334
0.20833333333333334,0.375,15,2.5539429400241973,F_cross_attn_chirp_plain/rx1_to_rx2/seed_1,0.125
0.4583333333333333,0.6666666666666666,9,1.7684051657585256,F_cross_attn_chirp_plain/rx1_to_rx2/seed_2,0.20833333333333334
0.20833333333333334,0.4166666666666667,15,2.5321409340340084,F_cross_attn_chirp_plain/rx2_to_rx1/seed_0,0.25
0.25,0.4166666666666667,14,2.4413026378076217,F_cross_attn_chirp_plain/rx2_to_rx1/seed_1,0.125
0.20833333333333334,0.4583333333333333,13,2.3806561448842114,F_cross_attn_chirp_plain/rx2_to_rx1/seed_2,0.08333333333333333
