label,device_name,num_samples,num_files,window_acc,file_acc
0,Device1,256,1,0.00390625,0.0
1,Device2,256,1,0.8125,1.0
2,Device3,256,1,0.80078125,1.0
3,Device4,256,1,0.44921875,1.0
4,Device5,256,1,0.52734375,1.0
5,Device6,256,1,0.4453125,1.0
6,Device7,256,1,0.453125,1.0
7,Device8,256,1,0.234375,0.0
8,Device9,256,1,0.69921875,1.0
9,Device10,256,1,0.14453125,0.0
10,Device11,256,1,0.38671875,0.0
11,Device12,256,1,0.67578125,1.0
12,Device13,256,1,0.11328125,0.0
13,Device14,256,1,0.3359375,1.0
14,Device15,256,1,0.30078125,0.0
15,Device16,256,1,0.16796875,1.0
16,Device17,256,1,0.18359375,1.0
17,Device18,256,1,0.47265625,1.0
18,Device19,256,1,0.453125,1.0
19,Device20,256,1,0.36328125,1.0
20,Device21,256,1,0.19921875,0.0
21,Device22,256,1,0.484375,1.0
22,Device23,256,1,0.66796875,1.0
23,Device24,256,1,0.26953125,1.0
