device,cross_rx_distance
0,0.03332788497209549
1,0.046860698610544205
2,0.031186291947960854
3,0.05155041813850403
4,0.04077477008104324
5,0.0389595702290535
6,0.03826453164219856
7,0.0705268457531929
8,0.04510175809264183
9,0.06239240989089012
10,0.049515243619680405
11,0.07435223460197449
12,0.053674936294555664
13,0.048808541148900986
14,0.03990645706653595
15,0.07359573245048523
16,0.0704597532749176
17,0.04951772093772888
18,0.05381271243095398
19,0.10786182433366776
20,0.0317821241915226
21,0.045095592737197876
22,0.04616079106926918
23,0.01425032690167427
