receiver,model,seed,condition,accuracy,macro_f1,n_eval
b200_2,C'-OOB,2,scale_0.70710678,0.2875,0.18103524660571732,2000
b200_2,C'-OOB,2,scale_1.41421356,0.2355,0.11912320608970968,2000
b200_2,C'-OOB,2,scale_2.0,0.179,0.07371667623570403,2000
b200_2,C'-OOB,2,shuffle,0.0175,0.01861765799336238,2000
b200_2,C'-OOB,2,neutral,0.1,0.027285129604179503,2000
b200_2,C'-OOB,2,left_scale_0.5,0.176,0.10427790189445248,2000
b200_2,C'-OOB,2,right_scale_0.5,0.712,0.6749957616891485,2000
b200_2,C'-OOB,3,clean,0.728,0.6836042608198725,2000
b200_2,C'-OOB,3,scale_0.5,0.1,0.018239854081084177,2000
b200_2,C'-OOB,3,scale_0.70710678,0.106,0.03975970676397352,2000
b200_2,C'-OOB,3,scale_1.41421356,0.253,0.14525498475565488,2000
b200_2,C'-OOB,3,scale_2.0,0.1115,0.03637623556116841,2000
b200_2,C'-OOB,3,shuffle,0.0305,0.028222455315924794,2000
b200_2,C'-OOB,3,neutral,0.1,0.01865671641782343,2000
b200_2,C'-OOB,3,left_scale_0.5,0.1,0.018239854081084177,2000
b200_2,C'-OOB,3,right_scale_0.5,0.7155,0.6671209112212202,2000
b200_2,C'-OOB,4,clean,0.7015,0.6740821044738461,2000
b200_2,C'-OOB,4,scale_0.5,0.1,0.018458698661659168,2000
b200_2,C'-OOB,4,scale_0.70710678,0.1095,0.04103530545314908,2000
b200_2,C'-OOB,4,scale_1.41421356,0.222,0.13534761539108495,2000
b200_2,C'-OOB,4,scale_2.0,0.1755,0.082238856714269,2000
b200_2,C'-OOB,4,shuffle,0.023,0.019994059309736918,2000
b200_2,C'-OOB,4,neutral,0.1,0.018744142455394828,2000
b200_2,C'-OOB,4,left_scale_0.5,0.1,0.01839926402935419,2000
b200_2,C'-OOB,4,right_scale_0.5,0.6775,0.6466097449381661,2000
b200_2,C'-TrueIB,0,clean,0.8185,0.808294580698368,2000
b200_2,C'-TrueIB,1,clean,0.315,0.29008446716254993,2000
b200_2,C'-TrueIB,2,clean,0.7625,0.738302877889104,2000
b200_2,C'-TrueIB,3,clean,0.7235,0.6959620231646132,2000
b200_2,C'-TrueIB,4,clean,0.3015,0.23884654392816457,2000
b200_mini_2,Shen-CIS,0,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-CIS,1,clean,0.9995,0.9994999968499929,2000
b200_mini_2,Shen-CIS,2,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-CIS,3,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-CIS,4,clean,0.9995,0.9994999968499929,2000
b200_mini_2,Shen-RA,0,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-RA,1,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-RA,2,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-RA,3,clean,1.0,0.9999999999749999,2000
b200_mini_2,Shen-RA,4,clean,1.0,0.9999999999749999,2000
b200_mini_2,B1-OOB,0,clean,0.4305,0.34452814042226654,2000
b200_mini_2,B1-OOB,0,scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,0,scale_0.70710678,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,0,scale_1.41421356,0.193,0.07795618306945841,2000
b200_mini_2,B1-OOB,0,scale_2.0,0.149,0.06253787617002622,2000
b200_mini_2,B1-OOB,0,shuffle,0.0965,0.07304317560769635,2000
b200_mini_2,B1-OOB,0,neutral,0.1265,0.049025936878655904,2000
b200_mini_2,B1-OOB,0,left_scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,0,right_scale_0.5,0.364,0.2674817150726772,2000
b200_mini_2,B1-OOB,1,clean,0.564,0.5193529145729749,2000
b200_mini_2,B1-OOB,1,scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,1,scale_0.70710678,0.1,0.024154589371834817,2000
b200_mini_2,B1-OOB,1,scale_1.41421356,0.109,0.043273776242943096,2000
b200_mini_2,B1-OOB,1,scale_2.0,0.1185,0.0466864812244801,2000
b200_mini_2,B1-OOB,1,shuffle,0.085,0.06959472766244863,2000
b200_mini_2,B1-OOB,1,neutral,0.165,0.09940269137125743,2000
b200_mini_2,B1-OOB,1,left_scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,1,right_scale_0.5,0.347,0.287979610967971,2000
b200_mini_2,B1-OOB,2,clean,0.7245,0.7003137466023648,2000
b200_mini_2,B1-OOB,2,scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,2,scale_0.70710678,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,2,scale_1.41421356,0.1075,0.030317395553954296,2000
b200_mini_2,B1-OOB,2,scale_2.0,0.1005,0.020353626032397616,2000
b200_mini_2,B1-OOB,2,shuffle,0.1315,0.1217357265214722,2000
b200_mini_2,B1-OOB,2,neutral,0.172,0.11383566450558087,2000
b200_mini_2,B1-OOB,2,left_scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,2,right_scale_0.5,0.4165,0.3324946252354971,2000
b200_mini_2,B1-OOB,3,clean,0.6125,0.5710718113966647,2000
b200_mini_2,B1-OOB,3,scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,3,scale_0.70710678,0.1,0.018273184102246355,2000
b200_mini_2,B1-OOB,3,scale_1.41421356,0.0015,0.0007926023777966631,2000
b200_mini_2,B1-OOB,3,scale_2.0,0.1,0.018206645425497468,2000
