receiver,model,seed,condition,accuracy,macro_f1,n_eval
n210_2,B1-OOB,4,shuffle,0.1005,0.0952478827712025,2000
n210_2,B1-OOB,4,neutral,0.148,0.0779872432589975,2000
n210_2,B1-OOB,4,left_scale_0.5,0.1,0.018190086402827696,2000
n210_2,B1-OOB,4,right_scale_0.5,0.4425,0.3732359538292457,2000
n210_2,C'-OOB,0,clean,0.8895,0.8811308689795748,2000
n210_2,C'-OOB,0,scale_0.5,0.0975,0.03764827433305825,2000
n210_2,C'-OOB,0,scale_0.70710678,0.245,0.15396878458162302,2000
n210_2,C'-OOB,0,scale_1.41421356,0.1805,0.1090689878410183,2000
n210_2,C'-OOB,0,scale_2.0,0.11,0.03653044203411858,2000
n210_2,C'-OOB,0,shuffle,0.017,0.0142643719991729,2000
n210_2,C'-OOB,0,neutral,0.129,0.04322323711600473,2000
n210_2,C'-OOB,0,left_scale_0.5,0.0995,0.018979494515884696,2000
n210_2,C'-OOB,0,right_scale_0.5,0.8025,0.7871712117898655,2000
n210_2,C'-OOB,1,clean,0.9225,0.9204556565172679,2000
n210_2,C'-OOB,1,scale_0.5,0.1,0.029651593772945507,2000
n210_2,C'-OOB,1,scale_0.70710678,0.186,0.12580645161013962,2000
n210_2,C'-OOB,1,scale_1.41421356,0.304,0.20219942895757356,2000
n210_2,C'-OOB,1,scale_2.0,0.145,0.08006836794413232,2000
n210_2,C'-OOB,1,shuffle,0.0075,0.006898207501439965,2000
n210_2,C'-OOB,1,neutral,0.115,0.037552458640609424,2000
n210_2,C'-OOB,1,left_scale_0.5,0.1,0.033003300329760704,2000
n210_2,C'-OOB,1,right_scale_0.5,0.936,0.9347746217647732,2000
n210_2,C'-OOB,2,clean,0.881,0.8775214803012338,2000
n210_2,C'-OOB,2,scale_0.5,0.1,0.018306636155522624,2000
n210_2,C'-OOB,2,scale_0.70710678,0.206,0.13295132498402723,2000
n210_2,C'-OOB,2,scale_1.41421356,0.2045,0.11799118833710794,2000
n210_2,C'-OOB,2,scale_2.0,0.1985,0.08200190148935049,2000
n210_2,C'-OOB,2,shuffle,0.0315,0.031126002398137242,2000
n210_2,C'-OOB,2,neutral,0.154,0.056621718805556165,2000
n210_2,C'-OOB,2,left_scale_0.5,0.1,0.018264840182565002,2000
n210_2,C'-OOB,2,right_scale_0.5,0.886,0.8827474142900351,2000
n210_2,C'-OOB,3,clean,0.7645,0.7449444702230432,2000
n210_2,C'-OOB,3,scale_0.5,0.1,0.01818181818173554,2000
n210_2,C'-OOB,3,scale_0.70710678,0.1,0.03325020781352245,2000
n210_2,C'-OOB,3,scale_1.41421356,0.205,0.125802372035714,2000
n210_2,C'-OOB,3,scale_2.0,0.1015,0.02116231044998241,2000
n210_2,C'-OOB,3,shuffle,0.028,0.023323599047021117,2000
n210_2,C'-OOB,3,neutral,0.1005,0.019563284025113432,2000
n210_2,C'-OOB,3,left_scale_0.5,0.1,0.01818181818173554,2000
n210_2,C'-OOB,3,right_scale_0.5,0.756,0.7346348865850577,2000
n210_2,C'-OOB,4,clean,0.854,0.8488028516074502,2000
n210_2,C'-OOB,4,scale_0.5,0.1,0.018223234624062765,2000
n210_2,C'-OOB,4,scale_0.70710678,0.1105,0.05214454145575161,2000
n210_2,C'-OOB,4,scale_1.41421356,0.201,0.11486971981334523,2000
n210_2,C'-OOB,4,scale_2.0,0.169,0.09772776023826832,2000
n210_2,C'-OOB,4,shuffle,0.02,0.01773181576322414,2000
n210_2,C'-OOB,4,neutral,0.1,0.018223234624062765,2000
n210_2,C'-OOB,4,left_scale_0.5,0.1,0.01818181818173554,2000
n210_2,C'-OOB,4,right_scale_0.5,0.835,0.831260950825562,2000
n210_2,C'-TrueIB,0,clean,0.929,0.9243503941374236,2000
n210_2,C'-TrueIB,1,clean,0.5685,0.5288504502731801,2000
n210_2,C'-TrueIB,2,clean,0.8795,0.8780643796615827,2000
n210_2,C'-TrueIB,3,clean,0.901,0.8990249062939453,2000
n210_2,C'-TrueIB,4,clean,0.3025,0.23739650896715353,2000
n210_3,Shen-CIS,0,clean,0.9985,0.9984999155952907,2000
n210_3,Shen-CIS,1,clean,0.996,0.995998399334842,2000
n210_3,Shen-CIS,2,clean,0.992,0.9919871794623724,2000
n210_3,Shen-CIS,3,clean,0.9955,0.9954977206962251,2000
n210_3,Shen-CIS,4,clean,0.997,0.9969993248231648,2000
n210_3,Shen-RA,0,clean,0.9945,0.994495837452226,2000
n210_3,Shen-RA,1,clean,0.998,0.9979997999550475,2000
n210_3,Shen-RA,2,clean,0.9865,0.9864382090654862,2000
n210_3,Shen-RA,3,clean,0.9965,0.9964989277717237,2000
n210_3,Shen-RA,4,clean,0.9925,0.992489438247752,2000
n210_3,B1-OOB,0,clean,0.423,0.33611565245355923,2000
n210_3,B1-OOB,0,scale_0.5,0.1,0.018206645425497468,2000
n210_3,B1-OOB,0,scale_0.70710678,0.1,0.018223234624062765,2000
n210_3,B1-OOB,0,scale_1.41421356,0.197,0.06684653541612225,2000
n210_3,B1-OOB,0,scale_2.0,0.115,0.036580508474077116,2000
n210_3,B1-OOB,0,shuffle,0.0945,0.0817004926729011,2000
n210_3,B1-OOB,0,neutral,0.1925,0.09860839555678672,2000
n210_3,B1-OOB,0,left_scale_0.5,0.1,0.018206645425497468,2000
n210_3,B1-OOB,0,right_scale_0.5,0.3325,0.22683292540587985,2000
n210_3,B1-OOB,1,clean,0.5825,0.5397156803121097,2000
n210_3,B1-OOB,1,scale_0.5,0.1,0.018214936247640187,2000
n210_3,B1-OOB,1,scale_0.70710678,0.1,0.025445292620703275,2000
n210_3,B1-OOB,1,scale_1.41421356,0.14,0.054380955747909375,2000
n210_3,B1-OOB,1,scale_2.0,0.162,0.06217107242058504,2000
n210_3,B1-OOB,1,shuffle,0.075,0.06506089931185358,2000
n210_3,B1-OOB,1,neutral,0.163,0.11328874744909827,2000
n210_3,B1-OOB,1,left_scale_0.5,0.1,0.018223234624062765,2000
n210_3,B1-OOB,1,right_scale_0.5,0.49,0.44709067847543427,2000
n210_3,B1-OOB,2,clean,0.793,0.7754106609541248,2000
n210_3,B1-OOB,2,scale_0.5,0.1005,0.019196744435349442,2000
n210_3,B1-OOB,2,scale_0.70710678,0.1,0.018223234624062765,2000
n210_3,B1-OOB,2,scale_1.41421356,0.1235,0.037906344916622925,2000
n210_3,B1-OOB,2,scale_2.0,0.1065,0.026803566997707036,2000
n210_3,B1-OOB,2,shuffle,0.1475,0.14988882799595088,2000
n210_3,B1-OOB,2,neutral,0.159,0.09381864162316407,2000
n210_3,B1-OOB,2,left_scale_0.5,0.1005,0.019201670301069854,2000
n210_3,B1-OOB,2,right_scale_0.5,0.5265,0.48949753398308415,2000
n210_3,B1-OOB,3,clean,0.6905,0.681846272800974,2000
n210_3,B1-OOB,3,scale_0.5,0.1,0.018223234624062765,2000
n210_3,B1-OOB,3,scale_0.70710678,0.1,0.01828989483302108,2000
n210_3,B1-OOB,3,scale_1.41421356,0.0185,0.010551735703354383,2000
n210_3,B1-OOB,3,scale_2.0,0.101,0.020177088775154096,2000
n210_3,B1-OOB,3,shuffle,0.112,0.10275743808665472,2000
n210_3,B1-OOB,3,neutral,0.131,0.060609205325836205,2000
n210_3,B1-OOB,3,left_scale_0.5,0.1,0.018223234624062765,2000
n210_3,B1-OOB,3,right_scale_0.5,0.539,0.48866501294842923,2000
n210_3,B1-OOB,4,clean,0.8165,0.8022331433638709,2000
n210_3,B1-OOB,4,scale_0.5,0.1,0.01819836214732394,2000
n210_3,B1-OOB,4,scale_0.70710678,0.1005,0.01922856733921319,2000
n210_3,B1-OOB,4,scale_1.41421356,0.163,0.08679389152218872,2000
n210_3,B1-OOB,4,scale_2.0,0.1005,0.019196744435349442,2000
n210_3,B1-OOB,4,shuffle,0.116,0.10845423805644136,2000
n210_3,B1-OOB,4,neutral,0.157,0.08578131120488805,2000
n210_3,B1-OOB,4,left_scale_0.5,0.1005,0.019191867100325784,2000
n210_3,B1-OOB,4,right_scale_0.5,0.3355,0.2615395209872669,2000
n210_3,C'-OOB,0,clean,0.897,0.8955065444646217,2000
n210_3,C'-OOB,0,scale_0.5,0.085,0.03586209842419022,2000
n210_3,C'-OOB,0,scale_0.70710678,0.2325,0.14244665856426644,2000
n210_3,C'-OOB,0,scale_1.41421356,0.1475,0.08402323082786864,2000
n210_3,C'-OOB,0,scale_2.0,0.1,0.01818181818173554,2000
n210_3,C'-OOB,0,shuffle,0.024,0.022156605888252964,2000
n210_3,C'-OOB,0,neutral,0.1775,0.06355263157833788,2000
n210_3,C'-OOB,0,left_scale_0.5,0.1,0.0204290091929498,2000
n210_3,C'-OOB,0,right_scale_0.5,0.798,0.7702679981438483,2000
n210_3,C'-OOB,1,clean,0.915,0.9137610832875465,2000
n210_3,C'-OOB,1,scale_0.5,0.1,0.02751031636844904,2000
n210_3,C'-OOB,1,scale_0.70710678,0.2015,0.12403972892040105,2000
n210_3,C'-OOB,1,scale_1.41421356,0.283,0.18160582946413145,2000
n210_3,C'-OOB,1,scale_2.0,0.114,0.043859812856222896,2000
n210_3,C'-OOB,1,shuffle,0.0075,0.006920958410415193,2000
n210_3,C'-OOB,1,neutral,0.1575,0.05255556638918905,2000
n210_3,C'-OOB,1,left_scale_0.5,0.1,0.03207698476317501,2000
n210_3,C'-OOB,1,right_scale_0.5,0.904,0.9009900731094375,2000
n210_3,C'-OOB,2,clean,0.774,0.7668360811350843,2000
n210_3,C'-OOB,2,scale_0.5,0.1,0.018214936247640187,2000
n210_3,C'-OOB,2,scale_0.70710678,0.2025,0.10343557705693891,2000
n210_3,C'-OOB,2,scale_1.41421356,0.207,0.10199759440744993,2000
n210_3,C'-OOB,2,scale_2.0,0.199,0.07310635792705174,2000
n210_3,C'-OOB,2,shuffle,0.025,0.026464257464897677,2000
n210_3,C'-OOB,2,neutral,0.152,0.054885231575290475,2000
n210_3,C'-OOB,2,left_scale_0.5,0.1,0.018214936247640187,2000
n210_3,C'-OOB,2,right_scale_0.5,0.7765,0.768779327180005,2000
n210_3,C'-OOB,3,clean,0.709,0.6742795402677195,2000
n210_3,C'-OOB,3,scale_0.5,0.1,0.018190086402827696,2000
n210_3,C'-OOB,3,scale_0.70710678,0.1015,0.035555502025034255,2000
n210_3,C'-OOB,3,scale_1.41421356,0.1845,0.1048832367849585,2000
n210_3,C'-OOB,3,scale_2.0,0.1,0.01818181818173554,2000
n210_3,C'-OOB,3,shuffle,0.02,0.016265390153435606,2000
n210_3,C'-OOB,3,neutral,0.123,0.04326494179357981,2000
n210_3,C'-OOB,3,left_scale_0.5,0.1,0.018190086402827696,2000
n210_3,C'-OOB,3,right_scale_0.5,0.7015,0.6667037712185548,2000
n210_3,C'-OOB,4,clean,0.672,0.6375424180775362,2000
n210_3,C'-OOB,4,scale_0.5,0.1,0.018527095877635354,2000
n210_3,C'-OOB,4,scale_0.70710678,0.116,0.05773689568641634,2000
n210_3,C'-OOB,4,scale_1.41421356,0.2085,0.12430768233432228,2000
n210_3,C'-OOB,4,scale_2.0,0.135,0.06938277860815245,2000
n210_3,C'-OOB,4,shuffle,0.0285,0.024351195136017877,2000
n210_3,C'-OOB,4,neutral,0.1,0.01819836214732394,2000
n210_3,C'-OOB,4,left_scale_0.5,0.1,0.018306636155522624,2000
n210_3,C'-OOB,4,right_scale_0.5,0.657,0.625356291879927,2000
n210_3,C'-TrueIB,0,clean,0.849,0.8400482752335897,2000
n210_3,C'-TrueIB,1,clean,0.4235,0.385371282939868,2000
n210_3,C'-TrueIB,2,clean,0.8705,0.8693038992897376,2000
n210_3,C'-TrueIB,3,clean,0.8675,0.8611968820852127,2000
n210_3,C'-TrueIB,4,clean,0.298,0.23403991351717918,2000
pluto_2,Shen-CIS,0,clean,0.973,0.9726901477075959,2000
pluto_2,Shen-CIS,1,clean,0.9775,0.9773507300725907,2000
pluto_2,Shen-CIS,2,clean,0.9595,0.958188120849947,2000
pluto_2,Shen-CIS,3,clean,0.967,0.9663428444853869,2000
pluto_2,Shen-CIS,4,clean,0.961,0.9599403212423503,2000
pluto_2,Shen-RA,0,clean,0.9745,0.9742109089350951,2000
pluto_2,Shen-RA,1,clean,0.9795,0.9793401432679462,2000
pluto_2,Shen-RA,2,clean,0.943,0.9395541822390957,2000
pluto_2,Shen-RA,3,clean,0.973,0.9727093048081554,2000
pluto_2,Shen-RA,4,clean,0.9505,0.9478420678520447,2000
pluto_2,B1-OOB,0,clean,0.461,0.37464264032357997,2000
pluto_2,B1-OOB,0,scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,0,scale_0.70710678,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,0,scale_1.41421356,0.198,0.07080477740614176,2000
pluto_2,B1-OOB,0,scale_2.0,0.1355,0.05129851368333488,2000
pluto_2,B1-OOB,0,shuffle,0.12,0.11637910354033507,2000
pluto_2,B1-OOB,0,neutral,0.1995,0.09284066910280592,2000
pluto_2,B1-OOB,0,left_scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,0,right_scale_0.5,0.322,0.22404650421121602,2000
pluto_2,B1-OOB,1,clean,0.5415,0.4781190236767382,2000
pluto_2,B1-OOB,1,scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,1,scale_0.70710678,0.1,0.02302820955657439,2000
pluto_2,B1-OOB,1,scale_1.41421356,0.116,0.04588396764855717,2000
pluto_2,B1-OOB,1,scale_2.0,0.123,0.04829110015000755,2000
pluto_2,B1-OOB,1,shuffle,0.0855,0.07497766534587136,2000
pluto_2,B1-OOB,1,neutral,0.125,0.07987675431012173,2000
pluto_2,B1-OOB,1,left_scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,1,right_scale_0.5,0.3415,0.3083194514253014,2000
pluto_2,B1-OOB,2,clean,0.8025,0.7873420736489409,2000
pluto_2,B1-OOB,2,scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,2,scale_0.70710678,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,2,scale_1.41421356,0.1185,0.034098498174054116,2000
pluto_2,B1-OOB,2,scale_2.0,0.1005,0.020482532542721622,2000
pluto_2,B1-OOB,2,shuffle,0.1415,0.14112595398508276,2000
pluto_2,B1-OOB,2,neutral,0.164,0.09865239912107729,2000
pluto_2,B1-OOB,2,left_scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,2,right_scale_0.5,0.4495,0.3882259567270475,2000
pluto_2,B1-OOB,3,clean,0.788,0.7803827204922916,2000
pluto_2,B1-OOB,3,scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,3,scale_0.70710678,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,3,scale_1.41421356,0.068,0.03275276028794724,2000
pluto_2,B1-OOB,3,scale_2.0,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,3,shuffle,0.093,0.08118185452161351,2000
pluto_2,B1-OOB,3,neutral,0.1365,0.074090954787156,2000
pluto_2,B1-OOB,3,left_scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,3,right_scale_0.5,0.5935,0.5608713879311255,2000
pluto_2,B1-OOB,4,clean,0.8045,0.782550609604482,2000
pluto_2,B1-OOB,4,scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,4,scale_0.70710678,0.1,0.018223234624062765,2000
pluto_2,B1-OOB,4,scale_1.41421356,0.175,0.09211390342913477,2000
pluto_2,B1-OOB,4,scale_2.0,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,4,shuffle,0.097,0.09186748991176948,2000
pluto_2,B1-OOB,4,neutral,0.159,0.09672696479844996,2000
pluto_2,B1-OOB,4,left_scale_0.5,0.1,0.01818181818173554,2000
pluto_2,B1-OOB,4,right_scale_0.5,0.3145,0.24026980003061293,2000
pluto_2,C'-OOB,0,clean,0.9015,0.8974107138528519,2000
pluto_2,C'-OOB,0,scale_0.5,0.097,0.03225936598537743,2000
pluto_2,C'-OOB,0,scale_0.70710678,0.229,0.1534974271261192,2000
pluto_2,C'-OOB,0,scale_1.41421356,0.15,0.08844336442238024,2000
pluto_2,C'-OOB,0,scale_2.0,0.1,0.01818181818173554,2000
pluto_2,C'-OOB,0,shuffle,0.0205,0.019532899634032798,2000
pluto_2,C'-OOB,0,neutral,0.1,0.021871273173900606,2000
pluto_2,C'-OOB,0,left_scale_0.5,0.101,0.024023151892223437,2000
pluto_2,C'-OOB,0,right_scale_0.5,0.82,0.81275397745732,2000
pluto_2,C'-OOB,1,clean,0.882,0.8672486293291245,2000
pluto_2,C'-OOB,1,scale_0.5,0.1,0.02422774076302709,2000
pluto_2,C'-OOB,1,scale_0.70710678,0.2,0.11660898882477322,2000
pluto_2,C'-OOB,1,scale_1.41421356,0.283,0.17823622725182697,2000
pluto_2,C'-OOB,1,scale_2.0,0.1475,0.08494940453149766,2000
pluto_2,C'-OOB,1,shuffle,0.013,0.012063483809934623,2000
pluto_2,C'-OOB,1,neutral,0.1,0.018214936247640187,2000
pluto_2,C'-OOB,1,left_scale_0.5,0.1,0.02947678702999649,2000
pluto_2,C'-OOB,1,right_scale_0.5,0.88,0.8590301977810644,2000
pluto_2,C'-OOB,2,clean,0.724,0.6687824613379139,2000
pluto_2,C'-OOB,2,scale_0.5,0.1,0.018407731247039084,2000
pluto_2,C'-OOB,2,scale_0.70710678,0.1965,0.09212304409547738,2000
pluto_2,C'-OOB,2,scale_1.41421356,0.218,0.10802539849778288,2000
pluto_2,C'-OOB,2,scale_2.0,0.197,0.08162523162612598,2000
pluto_2,C'-OOB,2,shuffle,0.0385,0.03404791170402156,2000
pluto_2,C'-OOB,2,neutral,0.1,0.022439308277911123,2000
pluto_2,C'-OOB,2,left_scale_0.5,0.1,0.01839926402935419,2000
pluto_2,C'-OOB,2,right_scale_0.5,0.734,0.677866979822095,2000
pluto_2,C'-OOB,3,clean,0.774,0.7239164313078547,2000
pluto_2,C'-OOB,3,scale_0.5,0.1,0.01818181818173554,2000
pluto_2,C'-OOB,3,scale_0.70710678,0.1015,0.033608863412032085,2000
pluto_2,C'-OOB,3,scale_1.41421356,0.1875,0.1126913315026459,2000
pluto_2,C'-OOB,3,scale_2.0,0.1,0.01818181818173554,2000
pluto_2,C'-OOB,3,shuffle,0.0355,0.029233699821005082,2000
pluto_2,C'-OOB,3,neutral,0.115,0.039647001143174494,2000
pluto_2,C'-OOB,3,left_scale_0.5,0.1,0.01818181818173554,2000
pluto_2,C'-OOB,3,right_scale_0.5,0.768,0.7179759675341624,2000
pluto_2,C'-OOB,4,clean,0.665,0.6175177743147369,2000
pluto_2,C'-OOB,4,scale_0.5,0.1,0.01890359168233032,2000
pluto_2,C'-OOB,4,scale_0.70710678,0.1055,0.04248008722176111,2000
pluto_2,C'-OOB,4,scale_1.41421356,0.2045,0.11586351202294898,2000
pluto_2,C'-OOB,4,scale_2.0,0.159,0.09254120361553902,2000
pluto_2,C'-OOB,4,shuffle,0.0455,0.0362327618481991,2000
pluto_2,C'-OOB,4,neutral,0.1,0.01818181818173554,2000
pluto_2,C'-OOB,4,left_scale_0.5,0.1,0.018604651162704166,2000
pluto_2,C'-OOB,4,right_scale_0.5,0.6385,0.5926366084826932,2000
pluto_2,C'-TrueIB,0,clean,0.7185,0.6633130711430701,2000
pluto_2,C'-TrueIB,1,clean,0.452,0.38928249269599163,2000
pluto_2,C'-TrueIB,2,clean,0.916,0.9146580047782052,2000
pluto_2,C'-TrueIB,3,clean,0.911,0.909373167952791,2000
pluto_2,C'-TrueIB,4,clean,0.3145,0.24513067008822204,2000
