method,calibration_mode,trainable_params,direction,seed,split_seed,shot_k,init,file_acc,macro_f1
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,1,0,0,source,0.16666666666666666,0.09523809523809523
feat_coral_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,1,0,0,source,0.16666666666666666,0.10912698412698413
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,1,1,0,source,0.125,0.06746031746031746
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,1,1,0,source,0.125,0.060515873015873016
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,1,1,0,source,0.25,0.19246031746031744
feat_coral_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,1,1,0,source,0.125,0.060515873015873016
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,1,2,0,source,0.125,0.06746031746031746
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,1,2,0,source,0.16666666666666666,0.10912698412698413
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,1,2,0,source,0.25,0.19246031746031747
feat_coral_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,1,2,0,source,0.16666666666666666,0.10912698412698413
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,2,0,0,source,0.08333333333333333,0.048611111111111105
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,2,0,0,source,0.08333333333333333,0.041666666666666664
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,2,0,0,source,0.20833333333333334,0.15277777777777776
feat_coral_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,2,0,0,source,0.125,0.08333333333333333
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,2,1,0,source,0.041666666666666664,0.020833333333333332
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,2,1,0,source,0.125,0.06944444444444443
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,2,1,0,source,0.25,0.16944444444444443
feat_coral_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,2,1,0,source,0.125,0.06944444444444443
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,2,2,0,source,0.125,0.07638888888888888
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,2,2,0,source,0.125,0.06944444444444443
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx2_to_rx1,2,2,0,source,0.25,0.17857142857142852
feat_coral_source_prototype,unlabeled_target,none (prototype),rx2_to_rx1,2,2,0,source,0.16666666666666666,0.1111111111111111
