eq_method,repr,eval_method,shot_k,file_acc,macro_f1
coral,main_only,oob_eq_only,3,0.16666666666666666,0.1111111111111111
coral,main_only,oob_eq_RCPA-T,3,0.041666666666666664,0.010416666666666666
coral,main_only,oob_eq_only,5,0.16666666666666666,0.1111111111111111
coral,main_only,oob_eq_RCPA-T,5,0.08333333333333333,0.044444444444444446
coral,fused,oob_eq_only,-1,0.25,0.1875
coral,fused,oob_eq_only,0,0.16666666666666666,0.09999999999999999
coral,fused,oob_eq_only,1,0.16666666666666666,0.09999999999999999
coral,fused,oob_eq_RCPA-T,1,0.375,0.2944444444444444
coral,fused,oob_eq_only,3,0.16666666666666666,0.09999999999999999
coral,fused,oob_eq_RCPA-T,3,0.3333333333333333,0.24583333333333332
coral,fused,oob_eq_only,5,0.16666666666666666,0.09999999999999999
coral,fused,oob_eq_RCPA-T,5,0.4166666666666667,0.3263888888888889
coral,late_fusion,oob_eq_only,0,0.25,0.20833333333333334
coral,late_fusion,oob_eq_only,1,0.25,0.20833333333333334
coral,late_fusion,oob_eq_RCPA-T,1,0.08333333333333333,0.018315018315018316
coral,late_fusion,oob_eq_only,3,0.25,0.20833333333333334
coral,late_fusion,oob_eq_RCPA-T,3,0.08333333333333333,0.048611111111111105
coral,late_fusion,oob_eq_only,5,0.25,0.20833333333333334
coral,late_fusion,oob_eq_RCPA-T,5,0.125,0.05357142857142857
