label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,58,44,37,106,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1,2,197,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2,36,50,29,134,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0
3,6,181,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
4,0,0,0,0,101,1,0,0,0,0,35,86,1,3,10,0,1,0,1,6,0,3,8,0
5,13,0,9,2,2,42,90,5,3,0,0,0,0,0,1,1,2,8,3,0,34,0,6,35
6,10,0,30,4,0,11,68,1,7,1,0,0,0,0,4,0,1,0,2,0,109,0,0,8
7,1,0,0,0,0,13,16,4,0,1,3,0,10,9,3,17,0,17,3,4,0,1,47,107
8,51,4,79,35,0,0,5,0,15,0,0,0,0,0,2,0,0,3,0,7,53,0,0,2
9,0,0,0,0,0,1,4,39,0,0,1,0,33,59,3,11,34,16,9,5,0,3,17,21
10,0,0,0,0,0,4,1,5,0,10,12,0,58,33,4,11,31,1,29,0,1,11,29,16
11,0,0,0,0,53,0,0,0,0,0,49,118,0,1,12,0,1,0,0,1,0,2,19,0
12,0,0,0,0,0,5,5,46,0,1,0,1,12,23,1,26,10,66,0,32,0,0,11,17
13,1,1,0,0,1,12,10,10,0,0,1,1,15,14,3,17,1,30,2,6,0,3,52,76
14,0,0,0,0,6,2,0,1,1,3,45,2,37,14,42,1,36,0,48,0,2,16,0,0
15,1,0,1,0,0,22,18,3,0,3,3,0,7,7,2,6,1,10,3,2,0,1,39,127
16,0,1,0,0,0,1,0,12,0,0,0,0,0,3,7,4,4,25,0,194,0,0,1,4
17,0,0,1,0,0,13,16,2,0,2,2,1,9,3,1,11,0,18,4,2,0,0,38,133
18,0,0,0,0,0,1,1,74,0,0,1,0,16,58,2,15,18,34,2,11,0,0,10,13
19,2,0,1,0,1,9,2,6,0,2,24,2,8,15,0,9,4,7,4,12,0,3,95,50
20,36,2,66,31,0,0,21,0,14,0,0,0,0,2,2,0,3,0,0,0,77,0,0,2
21,0,0,0,0,0,1,4,40,0,0,6,0,38,55,2,11,32,21,12,2,0,3,8,21
22,0,0,2,0,0,24,9,4,0,3,10,0,8,12,3,8,3,17,7,3,2,2,85,54
23,5,2,4,0,0,30,105,3,0,0,0,0,3,0,2,7,2,8,0,2,18,2,3,60
