model,params,latency_ms_bs1,latency_ms_bs32,latency_ms_bs64,peak_gpu_mem_mb_bs32,source,notes
CNN-IQ,47705,1.12,1.10,1.42,66.4,outputs/paper_ready/edge_deployment_summary.csv,"Phase6 edge benchmark; Hybrid ~1.16M params, ~2.45 ms @ bs1"
Hybrid,1156022,2.45,2.53,2.53,123.6,outputs/paper_ready/edge_deployment_summary.csv,"Phase6 edge benchmark; Hybrid ~1.16M params, ~2.45 ms @ bs1"
