label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,85,19,21,80,7,6,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,1,0,24
1,47,45,10,107,2,2,0,0,8,0,3,2,0,0,0,2,1,0,0,2,2,0,0,23
2,105,12,39,35,5,0,1,1,24,0,1,2,0,0,0,1,1,0,0,3,0,0,0,26
3,74,20,13,90,7,4,0,0,8,0,0,1,1,0,0,1,1,1,1,7,1,0,0,26
4,0,0,1,0,145,0,0,0,0,0,4,28,1,0,0,0,3,6,1,2,0,3,0,62
5,3,0,1,0,5,129,39,0,4,0,0,4,0,0,0,2,1,0,0,24,12,1,0,31
6,0,0,0,2,6,88,63,0,12,0,0,4,0,0,0,2,0,1,0,14,36,0,0,28
7,0,0,0,0,4,1,0,0,1,0,2,2,9,0,0,41,12,58,4,6,1,3,1,111
8,7,2,11,2,5,17,15,0,112,0,0,1,0,0,0,0,3,0,0,5,49,0,0,27
9,0,1,0,0,9,1,0,0,0,2,16,12,33,0,0,3,30,16,71,3,1,13,0,45
10,0,0,1,0,30,0,0,0,1,3,43,12,9,0,0,4,18,6,50,7,0,29,0,43
11,0,3,0,0,145,1,0,0,0,0,12,31,0,0,0,3,8,3,2,3,0,7,0,38
12,1,2,0,0,5,1,0,0,0,1,3,1,30,0,0,18,32,64,11,5,2,7,0,73
13,0,0,0,0,6,2,0,0,1,0,5,3,31,0,0,22,28,83,10,6,0,8,0,51
14,0,1,0,1,11,0,0,0,1,1,11,6,46,0,0,6,40,24,54,0,0,15,0,39
15,0,1,1,0,3,2,0,0,2,0,1,1,1,0,0,18,6,16,2,40,0,1,15,146
16,0,1,0,2,10,2,0,0,1,0,3,3,28,0,0,29,28,58,3,5,0,8,0,75
17,0,2,0,0,9,1,0,0,0,1,1,1,6,0,0,39,16,61,5,8,0,0,0,106
18,0,1,0,0,5,2,0,0,1,0,10,7,47,0,0,9,33,38,47,4,0,12,0,40
19,0,2,0,0,2,30,1,0,0,0,0,2,0,0,0,0,5,0,1,157,0,1,2,53
20,1,1,1,0,5,36,28,0,63,0,0,0,0,0,0,0,1,0,1,13,76,2,0,28
21,0,2,0,1,17,2,0,0,1,2,44,10,15,0,0,7,16,9,65,3,0,26,0,36
22,0,1,0,0,7,0,0,0,2,0,1,1,1,0,0,8,7,5,0,127,0,0,5,91
23,1,2,0,0,3,5,0,0,1,0,0,3,1,0,0,7,4,17,0,77,0,2,10,123
